trade_date,close,turnover_rate,pe,pb,ps,dv_ratio,total_mv
20150605,16.3,2.419,11.7782,1.6123,3.1772,0.6531,23323142.11
20150608,17.29,4.3087,12.4935,1.7102,3.3702,0.6157,24739701.04
20150609,16.98,2.7846,12.2695,1.6796,3.3098,0.627,24296132.08
20150610,16.68,1.8624,12.0528,1.6499,3.2513,0.6383,23866871.8
20150611,16.48,1.4461,11.9082,1.6301,3.2123,0.646,23580698.28
20150612,16.51,1.6125,11.9299,1.6331,3.2182,0.6448,23623624.31
20150615,15.92,1.8571,11.5036,1.5747,3.1032,0.6687,22779412.41
20150616,15.64,1.5352,11.3013,1.547,3.0486,0.6807,22378769.48
20150617,15.73,1.4537,11.3663,1.5559,3.0661,0.6768,22507547.57
20150618,15.38,1.3576,11.1134,1.5213,2.9979,0.6922,22006743.9
20150619,14.63,1.3263,10.5715,1.4471,2.8517,0.7277,20933593.19
20150623,14.95,1.5295,10.8027,1.4788,2.9141,0.7121,21391470.83
